2023-05-28 21:28:01.801181: iter: [8/20], train_loss: 0.000000, valid_loss: 0.000000
2023-05-28 21:50:47.384412: iter: [9/20], train_loss: 0.000000, valid_loss: 0.000000
2023-05-28 22:14:36.551587: iter: [10/20], train_loss: 0.000000, valid_loss: 0.000000
2023-05-28 22:40:21.043806: iter: [11/20], train_loss: 0.000000, valid_loss: 0.000000
2023-05-28 23:02:42.138893: iter: [12/20], train_loss: 0.000000, valid_loss: 0.000000
2023-05-28 23:25:14.244488: iter: [13/20], train_loss: 0.000000, valid_loss: 0.000000
2023-05-28 23:47:19.330092: iter: [14/20], train_loss: 0.000000, valid_loss: 0.000000
2023-05-29 00:09:54.455388: iter: [15/20], train_loss: 0.000000, valid_loss: 0.000000
2023-05-29 00:32:09.300007: iter: [16/20], train_loss: 0.000000, valid_loss: 0.000000
2023-05-29 00:56:20.244263: iter: [17/20], train_loss: 0.000000, valid_loss: 0.000000
2023-05-29 01:19:43.048550: iter: [18/20], train_loss: 0.000000, valid_loss: 0.000000
2023-05-29 01:42:12.982707: iter: [19/20], train_loss: 0.000000, valid_loss: 0.000000
2023-05-29 02:04:24.993808: iter: [20/20], train_loss: 0.000000, valid_loss: 0.000000
2023-06-02 15:57:53.029068: iter: [1/10], train_loss: 0.360675, valid_loss: 0.303734
2023-06-02 16:06:17.461846: iter: [2/10], train_loss: 0.205857, valid_loss: 0.175561
2023-06-02 16:16:07.605212: iter: [3/10], train_loss: 0.112789, valid_loss: 0.123873
2023-06-02 16:42:46.458574: iter: [4/10], train_loss: 0.040003, valid_loss: 0.218695
2023-06-02 17:10:18.459632: iter: [5/10], train_loss: -0.100126, valid_loss: 1.366338
2023-06-02 17:37:43.558172: iter: [6/10], train_loss: -0.278165, valid_loss: 2.653332
2023-06-02 18:05:11.076975: iter: [7/10], train_loss: -0.423292, valid_loss: 3.328033
2023-06-02 18:32:36.748916: iter: [8/10], train_loss: -0.560976, valid_loss: 1.786660
2023-06-02 18:59:47.539414: iter: [9/10], train_loss: -0.716595, valid_loss: 1.580668
2023-06-02 19:27:06.037918: iter: [10/10], train_loss: -0.865803, valid_loss: 1.345017
2023-06-12 20:28:11.423803: iter: [1/20], train_loss: 0.060559, valid_loss: -0.085729
2023-06-12 20:52:30.830962: iter: [1/20], train_loss: 0.050866, valid_loss: 0.041199
2023-06-12 21:13:17.155506: iter: [2/20], train_loss: 0.009531, valid_loss: 0.023968
2023-06-12 21:33:05.149916: iter: [3/20], train_loss: 0.005384, valid_loss: 0.011419
2023-06-12 21:53:29.547592: iter: [4/20], train_loss: 0.003279, valid_loss: 0.005698
2023-06-12 22:12:46.923698: iter: [5/20], train_loss: 0.002432, valid_loss: 0.004281
